Designator,Mid X,Mid Y,Rotation,Layer
Q11,132.7404,-101.8267,0.0,top
J7,95.6564,-74.0918,0.0,top
U2,141.7066,-120.0658,-90.0,top
U4,113.972996,-65.8368,180.0,top
R51,145.161,-68.3025,90.0,top
C43,210.566,-106.045,0.0,top
R5,212.344,-77.343,180.0,top
C32,171.704,-127.635,-90.0,top
R34,143.51,-110.5154,90.0,top
R44,146.812,-73.6835,-90.0,top
C1,196.1134,-116.2812,180.0,top
Q12,107.89,-107.554,0.0,top
R78,126.7206,-119.8626,90.0,top
R13,201.549,-86.995,-90.0,top
C2,168.148,-83.5914,90.0,top
FID11,95.1518,-91.3384,0.0,top
SW2,176.1744,-124.0536,90.0,top
J12,111.6584,-71.1708,90.0,top
R60,203.581,-105.3338,180.0,top
C50,123.19,-104.902,180.0,top
C63,114.935,-78.6638,0.0,top
R103,153.5665,-76.962,180.0,top
FID12,95.1772,-81.9912,0.0,top
C85,182.372,-121.2596,180.0,top
U1,186.9948,-94.234,0.0,top
D3,208.407,-79.1718,180.0,top
R115,189.1538,-127.2521,-90.0,top
R106,109.601,-110.744,-90.0,top
Q10,124.4335,-93.472,90.0,top
U7,154.178,-70.612,-90.0,top
U20,99.6232,-97.302,-90.0,top
C46,118.4137,-94.3864,-90.0,top
R47,145.161,-77.1925,-90.0,top
R43,149.352,-72.898,180.0,top
R82,114.6048,-94.3864,90.0,top
C20,167.6908,-127.8382,-90.0,top
R40,141.5542,-114.6048,0.0,top
R84,128.016,-101.1682,-90.0,top
C9,189.0268,-114.8588,90.0,top
R104,104.521,-109.093,-90.0,top
R90,112.014,-80.6723,-90.0,top
C83,134.7724,-75.0824,90.0,top
D6,120.9802,-76.6826,0.0,top
J18,147.828,-102.108,180.0,top
U13,183.515,-110.617,180.0,top
R57,145.161,-64.6195,90.0,top
C22,118.491,-66.04,-90.0,top
C11,170.9166,-92.5068,180.0,top
C70,160.0211,-88.5963,180.0,top
C45,111.9124,-95.3262,180.0,top
R71,121.2077,-91.694,180.0,top
R89,113.6142,-82.169,-90.0,top
C65,111.9886,-77.0382,90.0,top
R56,136.398,-68.326,-90.0,top
R48,155.956,-65.913,0.0,top
C47,116.3828,-94.3864,90.0,top
C72,157.2006,-82.2463,90.0,top
R64,125.7046,-134.7724,0.0,top
J4,196.0,-69.0,-90.0,top
D14,125.7046,-136.4234,180.0,top
D19,169.5704,-109.982,-90.0,top
R17,212.344,-80.9244,180.0,top
R59,150.1375,-76.962,0.0,top
R52,149.352,-69.088,180.0,top
U5,164.4904,-105.2418,-90.0,top
R7,212.344,-79.1464,180.0,top
U11,148.2852,-87.5284,0.0,top
R30,143.9926,-126.6952,-90.0,top
C77,161.036,-104.8512,180.0,top
R6,212.344,-75.5396,180.0,top
J14,105.41,-119.2784,180.0,top
R54,153.5665,-78.613,180.0,top
D2,208.407,-75.5396,180.0,top
R109,155.6004,-99.4156,-90.0,top
R98,168.0464,-109.982,90.0,top
D15,120.4468,-94.2848,90.0,top
C66,115.2906,-84.6328,180.0,top
J5,210.8962,-89.9414,135.0,top
R93,109.474,-96.3676,-90.0,top
R73,123.5445,-97.1296,180.0,top
C39,151.892,-86.9696,-90.0,top
R69,123.4937,-100.4316,180.0,top
R24,195.707,-76.454,90.0,top
D5,193.802,-109.982,0.0,top
C28,157.861,-72.009,-90.0,top
C55,128.5748,-119.8372,90.0,top
R12,203.454,-86.233,-90.0,top
J2,173.0,-69.0,90.0,top
C61,122.301,-87.122,180.0,top
FID1,205.74,-102.5398,0.0,top
U21,205.74,-110.5408,180.0,top
R53,146.812,-68.326,90.0,top
U22,99.661984,-87.865784,-90.0,top
C12,193.1935,-77.216,180.0,top
R112,190.7032,-127.2521,-90.0,top
SW1,176.0728,-113.6396,-90.0,top
R42,145.161,-73.7635,-90.0,top
R50,152.527,-64.262,0.0,top
JP1,183.5046,-75.946,90.0,top
C53,183.7436,-113.1316,0.0,top
J9,141.5796,-69.4182,-90.0,top
R81,131.191,-88.138,180.0,top
U3,155.067,-120.6868,180.0,top
C15,204.11412,-94.38612,135.0,top
R72,123.5445,-98.7552,180.0,top
R23,177.0888,-76.6318,135.0,top
C7,175.895,-79.121,-135.0,top
R102,153.5665,-75.311,0.0,top
R86,124.2822,-79.248,180.0,top
R111,192.2272,-127.2521,-90.0,top
C49,122.936,-106.68,180.0,top
R62,123.5699,-102.8954,0.0,top
C42,150.3172,-83.9724,90.0,top
R20,183.769,-79.8068,0.0,top
C59,127.889,-80.6958,0.0,top
J13,132.8385,-120.721,90.0,top
R58,155.956,-64.262,180.0,top
C23,170.18,-127.635,-90.0,top
R66,114.9115,-106.6038,180.0,top
R75,122.6312,-89.9668,0.0,top
D18,124.4854,-110.109,180.0,top
C69,160.0211,-90.1203,0.0,top
R92,111.887,-84.709,-90.0,top
L1,116.9913,-101.5735,0.0,top
C26,164.3688,-102.997,0.0,top
D1,208.407,-77.343,180.0,top
C33,150.114,-78.613,180.0,top
IC1,169.3926,-97.6122,0.0,top
D13,126.619,-115.443,-90.0,top
R91,115.2906,-86.2838,0.0,top
C29,156.5148,-96.9772,0.0,top
C81,164.592,-94.361,90.0,top
R88,124.2568,-82.296,0.0,top
C71,158.7246,-82.2463,-90.0,top
C64,110.236,-80.8736,-90.0,top
C84,135.636,-65.8368,180.0,top
C58,127.8901,-82.7192,0.0,top
R87,120.777,-84.582,-90.0,top
R25,205.232,-96.774,45.0,top
C79,157.099,-75.311,0.0,top
R105,108.077,-110.7205,-90.0,top
R55,136.398,-74.93,90.0,top
R99,110.363,-84.709,90.0,top
D7,192.278,-114.935,180.0,top
R22,196.9516,-112.4712,90.0,top
C21,165.862,-127.889,-90.0,top
R85,124.2822,-80.772,180.0,top
C73,149.352,-67.437,180.0,top
D8,141.5034,-125.349,90.0,top
J11,121.9962,-119.3038,180.0,top
C62,117.0178,-80.7212,180.0,top
D9,139.9032,-125.349,90.0,top
C14,202.84412,-95.65612,135.0,top
R83,129.286,-105.4589,180.0,top
R41,145.2118,-107.6452,180.0,top
C60,127.889,-84.7344,0.0,top
R65,116.078,-91.059,180.0,top
C8,174.498,-77.851,-135.0,top
C30,146.812,-64.643,90.0,top
Q8,115.1128,-110.0836,180.0,top
R45,157.861,-68.6035,-90.0,top
D10,132.2978,-97.155,0.0,top
C57,124.9934,-85.3948,90.0,top
R27,182.245,-119.634,180.0,top
U8,155.4988,-86.6913,90.0,top
R74,126.746,-93.9546,-90.0,top
C3,173.0756,-89.7128,90.0,top
C27,146.812,-77.216,-90.0,top
J8,141.5796,-78.2574,-90.0,top
FB2,128.143,-123.9266,-90.0,top
J1,207.3864,-115.2142,0.0,top
C41,150.622,-90.1203,0.0,top
C13,193.1935,-75.692,180.0,top
C68,149.352,-74.549,180.0,top
J3,188.468,-119.38,90.0,top
C25,147.1168,-109.1946,0.0,top
D16,122.0459,-94.2988,90.0,top
D4,208.407,-80.9498,180.0,top
Q6,141.2748,-111.1504,90.0,top
U10,149.733,-91.186,180.0,bottom
Y1,158.115,-91.44,180.0,bottom
R100,102.2096,-68.7832,0.0,bottom
C5,173.2026,-89.281,90.0,bottom
R94,149.86,-119.4562,180.0,bottom
R97,168.5544,-93.4182,-90.0,bottom
R16,153.0585,-126.238,180.0,bottom
R11,208.4832,-83.7438,90.0,bottom
U19,159.0802,-103.3526,90.0,bottom
R70,124.714,-91.3365,90.0,bottom
L3,115.5446,-76.6826,180.0,bottom
J15,190.0585,-92.837,90.0,bottom
R36,152.3238,-111.8916,180.0,bottom
C44,125.73,-109.347,0.0,bottom
R38,107.696,-63.9572,180.0,bottom
R9,208.915,-73.787,90.0,bottom
C6,160.0708,-87.4414,-90.0,bottom
J20,99.6232,-97.302,180.0,bottom
C35,154.3304,-93.726,0.0,bottom
C67,181.737,-94.996,180.0,bottom
R37,102.2135,-67.2592,180.0,bottom
R110,190.7032,-127.254,-90.0,bottom
D11,115.4938,-104.0638,0.0,bottom
C52,123.19,-91.313,-90.0,bottom
R26,141.224,-120.3725,-90.0,bottom
R8,211.074,-83.058,180.0,bottom
R79,179.2243,-84.7852,180.0,bottom
U17,115.8884,-82.75,90.0,bottom
J19,99.661984,-87.865784,180.0,bottom
TH1,174.2948,-83.0072,0.0,bottom
R2,190.754,-110.49,-90.0,bottom
U6,149.5044,-125.5776,0.0,bottom
R15,153.035,-124.714,0.0,bottom
R10,209.296,-77.851,-90.0,bottom
J10,208.3054,-112.6744,180.0,bottom
R96,181.2544,-102.3874,-90.0,bottom
R14,188.0089,-112.8268,0.0,bottom
R33,125.095,-94.869,90.0,bottom
Q5,202.565,-76.454,0.0,bottom
C78,162.4076,-101.6,90.0,bottom
C76,162.0774,-105.9688,-90.0,bottom
Q2,193.929,-109.474,180.0,bottom
C19,162.052,-87.4414,-90.0,bottom
C74,117.2718,-106.934,0.0,bottom
D17,136.5504,-115.7732,180.0,bottom
R29,136.144,-120.65,180.0,bottom
C4,172.212,-92.3036,180.0,bottom
R113,189.1538,-127.2559,-90.0,bottom
C24,103.886,-64.77,90.0,bottom
R101,105.5624,-68.7832,180.0,bottom
C37,150.2156,-86.9696,-90.0,bottom
C31,167.0558,-93.4201,-90.0,bottom
R77,189.1792,-123.2916,0.0,bottom
C38,148.7424,-86.9696,-90.0,bottom
U16,123.752,-83.732,0.0,bottom
R76,164.2618,-85.217,-90.0,bottom
Q4,186.944,-110.617,180.0,bottom
R32,139.9032,-125.349,-90.0,bottom
R114,192.2272,-127.2559,-90.0,bottom
U9,167.8432,-86.868,90.0,bottom
R80,194.31,-116.2812,180.0,bottom
R46,160.6296,-91.567,90.0,bottom
R39,105.5701,-67.2592,180.0,bottom
C80,168.8592,-82.3468,180.0,bottom
R35,152.2984,-116.5906,0.0,bottom
R4,195.1182,-112.5728,-90.0,bottom
C75,153.0604,-127.7874,0.0,bottom
R21,199.136,-76.835,-90.0,bottom
C82,107.1372,-132.7912,0.0,bottom
C10,184.2008,-107.8484,180.0,bottom
F2,127.32,-124.1806,180.0,bottom
C18,139.7,-121.7665,-90.0,bottom
R19,205.867,-76.708,-90.0,bottom
L2,129.5812,-83.4966,90.0,bottom
J6,175.006,-114.935,20.0,bottom
F3,102.997,-112.141,0.0,bottom
C16,182.7784,-102.3874,90.0,bottom
R18,196.6214,-112.5709,-90.0,bottom
C48,124.8653,-101.6265,90.0,bottom
R61,125.73,-111.125,0.0,bottom
Q7,114.4513,-98.5012,180.0,bottom
Q3,212.09,-79.756,90.0,bottom
R49,156.083,-88.8503,180.0,bottom
R63,110.5154,-106.6546,180.0,bottom
R108,152.3238,-113.4364,180.0,bottom
C51,113.919,-106.934,0.0,bottom
Q1,211.201,-71.374,-90.0,bottom
R3,193.5734,-112.5709,90.0,bottom
D12,126.6444,-115.443,-90.0,bottom
F1,119.507,-113.538,0.0,bottom
U12,121.1823,-98.679,-90.0,bottom
TH2,189.4078,-115.57,0.0,bottom
Q9,114.208,-91.694,180.0,bottom
R68,120.1155,-93.4212,180.0,bottom
L5,151.5364,-94.5896,90.0,bottom
C54,135.1788,-89.0016,0.0,bottom
C34,154.3304,-95.758,0.0,bottom
R67,114.808,-114.173,-90.0,bottom
U18,179.578,-89.916,0.0,bottom
U15,129.3876,-102.5379,0.0,bottom
U14,131.445,-92.4052,-90.0,bottom
C36,153.4668,-86.9696,-90.0,bottom
R95,149.86,-120.9548,180.0,bottom
L4,161.3661,-84.7852,0.0,bottom
C40,151.9428,-86.9696,-90.0,bottom
R28,136.144,-119.126,0.0,bottom
R107,152.3172,-115.0066,0.0,bottom
C17,139.6492,-116.6114,90.0,bottom
R31,141.478,-125.349,-90.0,bottom
C56,131.191,-88.646,0.0,bottom
R1,198.12,-109.2454,0.0,bottom
